Previous_Fraud_Reports,Fraudulent,Month,Day,Transaction_Amount_Standardized,Transaction_Location_Online,Device_Type_POS,Device_Type_Web,Transaction_Type_Debit,Time_of_Day_non-night,Interaction_Term_time_day_location
0,1,10,1,0.35648299831471136,0,0,0,1,0,0
1,1,10,7,-0.47067794593821694,1,0,0,0,1,1
0,1,8,23,0.3751459736691115,1,0,0,0,0,0
0,0,1,10,-0.4695866451703246,1,0,0,1,1,1
0,1,11,3,-1.50682471946597,1,0,1,0,0,0
1,1,6,10,-1.0692720071381374,1,0,1,0,1,1
0,1,10,27,1.7041493710428186,1,0,0,0,1,1
0,1,12,8,-0.8947504954474174,1,0,0,0,1,1
0,1,9,22,1.1738430223379015,1,1,0,1,1,1
2,0,12,7,-0.935759153191994,1,0,0,0,1,1
0,1,5,8,-1.5479303817232484,1,0,0,1,0,0
2,1,6,10,0.6028571383422161,1,0,1,1,1,1
0,1,3,6,-0.954539919740389,0,0,0,1,1,0
0,1,2,14,1.25258989997026,0,0,1,0,1,0
0,0,7,24,-1.6077163415693376,1,0,0,1,1,1
4,1,3,30,1.0978642377644188,0,0,0,1,0,0
1,0,6,9,-0.8825729646564916,1,1,0,0,1,1
0,1,4,22,1.4350276727868023,1,0,1,1,1,1
0,1,1,1,-0.2855136534253848,0,0,0,0,1,0
0,1,8,14,-0.6269210358784607,0,0,1,1,1,0
0,1,11,11,1.0033679846055887,1,0,0,1,0,0
0,0,12,3,-1.3664314740117816,1,0,0,1,1,1
0,1,10,11,0.6198641080869258,0,0,0,1,1,0
2,1,4,18,1.4585755182451015,0,0,1,0,0,0
0,1,12,9,-0.09633753142296746,1,0,1,0,1,1
0,1,12,28,1.5234057127516714,1,0,0,0,1,1
0,1,2,1,-1.010504594675414,1,0,1,1,1,1
2,0,6,17,-1.6276334466950935,0,0,1,0,1,0
0,0,8,28,-0.8795796825502726,0,0,1,1,1,0
0,1,11,15,0.8827671241893968,0,0,0,0,1,0
1,0,11,12,0.029466928210285556,0,0,0,0,1,0
1,1,4,4,0.8480187219609516,1,0,1,1,1,1
0,0,8,10,-0.37191002977363646,0,0,1,0,1,0
0,1,11,16,0.08692477975153783,1,0,0,0,0,0
0,1,6,23,-0.779529921039279,1,0,1,0,0,0
0,1,11,30,-0.4543846522512401,0,0,0,0,0,0
0,1,4,6,-0.9922954618625819,1,0,1,1,1,1
0,1,4,11,0.980883724340124,0,0,1,1,0,0
0,1,6,7,0.9085599312273602,1,1,0,1,0,0
0,1,10,17,-1.655297055049444,1,0,1,1,1,1
0,1,4,9,-1.3265903348665053,0,0,0,1,0,0
0,1,4,11,-0.8366032189766074,0,0,1,0,1,0
0,1,3,27,-0.5385776403824138,1,0,1,0,0,0
0,1,8,31,0.406894164897573,0,0,0,1,1,0
4,0,11,13,-0.8058839684721586,0,0,1,1,1,0
0,0,4,22,-1.5653461562000575,0,0,1,1,1,0
0,1,8,5,-1.044632860911946,1,0,0,0,0,0
0,1,5,3,-0.49233420339883605,0,1,0,0,0,0
0,0,4,20,-0.09012924261006876,0,0,0,1,1,0
0,1,5,29,1.1637406952294125,1,0,1,0,0,0
0,0,5,24,0.5766382043377423,1,0,0,0,0,0
1,1,8,2,1.711054013679039,1,0,1,1,1,1
2,1,5,7,1.6346109932233424,1,1,0,0,1,1
0,1,5,1,0.5192080683715475,1,0,0,0,0,0
1,1,3,5,-0.9791270992633476,0,0,1,0,0,0
1,1,2,16,1.1351451506637504,1,0,1,0,1,1
0,1,10,6,0.46845738599423026,1,0,1,1,1,1
0,0,5,18,-1.4468967172977103,1,0,1,0,1,1
1,1,1,18,0.6573113144366031,0,0,0,1,0,0
0,1,6,4,0.782291235711893,1,0,1,1,1,1
0,1,11,16,0.3180518890504898,1,0,1,0,0,0
3,0,11,15,-1.0542536299038094,0,0,1,1,1,0
0,0,12,14,-1.6445226252458085,0,0,1,0,1,0
1,1,6,25,0.23295468028306232,1,0,1,1,1,1
0,1,4,9,-1.412283428497671,0,0,0,0,1,0
0,0,5,16,1.515184580300216,0,0,1,1,1,0
1,1,7,3,-1.1764238847576367,1,0,1,0,0,0
0,1,3,24,-0.7355245167416011,1,0,0,1,0,0
0,1,10,5,-0.6197565597260756,1,0,1,0,0,0
0,0,10,7,-0.3378579813685132,0,0,1,0,1,0
0,1,1,19,-0.6167598131729743,0,0,1,0,1,0
0,1,11,14,0.056042700243625794,1,0,0,0,0,0
2,0,5,22,-1.0153998581199597,1,1,0,1,1,1
0,0,11,21,-0.7550743904978439,1,0,0,0,1,1
0,1,2,28,0.33278618164047746,1,0,1,0,1,1
0,1,10,14,-0.15161971032219984,1,0,1,0,1,1
0,1,9,9,-0.3573939973372272,1,0,1,1,1,1
0,1,4,14,0.5888538440443721,1,0,0,1,1,1
0,1,10,11,1.7030268902529866,0,0,1,1,0,0
0,1,6,19,1.6943969530694316,1,0,0,0,1,1
2,1,12,17,-1.111261103350376,1,0,0,0,1,1
2,0,1,22,-1.0227687366383948,1,0,0,1,0,0
0,0,5,17,-1.2059097921720232,1,1,0,0,1,1
0,1,4,21,0.8066220461655688,1,0,1,0,0,0
2,0,4,18,-1.2000756636224021,1,0,0,0,1,1
1,1,5,31,-0.7452838636087527,1,0,0,0,0,0
0,0,7,28,0.2573235996524425,1,0,0,1,1,1
0,1,5,13,1.6867613121410678,0,0,1,0,1,0
0,1,5,31,-1.5430697627475247,0,0,0,0,0,0
0,1,1,27,-0.23153757100074118,1,1,0,1,1,1
0,1,3,24,0.4581264053915159,1,1,0,0,1,1
0,1,8,6,-0.14790582326448357,1,0,0,0,1,1
0,1,11,15,0.8471075724309336,0,0,1,1,1,0
0,0,3,29,-0.7577073701283145,0,0,0,1,1,0
0,1,12,30,-0.8057938928532214,1,0,0,0,1,1
0,0,3,30,-0.7745896197852647,0,0,1,0,1,0
0,0,4,9,-0.43748854480676086,1,0,0,1,0,0
1,1,12,20,0.08381024200444197,1,0,1,0,0,0
0,0,4,13,0.2879804901130118,0,0,1,1,1,0
2,1,11,8,0.44359997961446024,1,1,0,1,1,1
0,1,7,12,-0.9269733158987402,1,0,0,1,1,1
2,1,12,2,-0.05355161242782318,1,0,0,1,1,1
0,1,11,3,1.224389302349169,1,0,0,0,1,1
1,0,7,1,-1.5973507164978014,0,0,0,0,1,0
0,1,1,2,-1.1547676272970175,1,0,0,0,1,1
0,1,10,20,1.6184424196241245,1,0,1,0,0,0
0,0,3,21,-1.5835518245660072,1,0,0,1,1,1
0,0,6,21,-0.4627963292812167,1,0,0,0,1,1
1,1,6,11,-0.4408178782605531,0,0,1,0,0,0
0,1,4,1,-0.27127477673955125,1,0,0,0,0,0
0,1,9,8,-1.125136213113579,1,0,1,0,1,1
1,1,4,25,1.2801842193869668,0,0,1,0,1,0
2,1,3,1,0.8202650379876643,0,0,1,1,1,0
2,1,12,23,1.5364943930726154,0,0,0,0,1,0
0,1,2,4,-0.5971060060102655,1,1,0,1,1,1
0,1,12,2,0.6190950008790778,1,0,1,0,0,0
0,0,11,17,0.9296203038242413,0,0,1,0,1,0
0,0,4,12,-1.1894571339284652,1,0,0,0,0,0
0,1,10,28,-1.3335954464623097,1,0,1,0,1,1
2,0,12,18,-0.31760482489518416,0,0,0,1,1,0
0,0,2,29,-1.3774761306722285,1,0,0,1,1,1
0,0,1,29,0.043653838192885965,0,0,0,0,1,0
0,0,6,21,-1.5709689534898645,0,0,1,0,1,0
0,1,6,4,-0.7190787873918076,1,0,0,1,0,0
0,1,4,25,-1.404110798302566,1,0,1,0,0,0
0,1,2,23,0.44112290009368854,0,0,1,1,0,0
2,1,12,19,-0.05932338093356485,1,0,1,1,0,0
0,0,8,13,-1.349268604157373,1,0,1,0,1,1
0,0,4,4,-0.32843468584893476,1,0,0,1,1,1
1,1,8,18,0.47525463077710256,1,0,0,0,1,1
0,1,9,19,0.9991517527499538,0,0,1,0,1,0
1,1,10,4,0.06597180500800497,1,0,1,0,1,1
0,0,1,13,-0.051833246774252995,0,0,1,1,1,0
0,1,1,27,0.17059117195661752,0,0,0,1,1,0
0,1,2,2,1.05461408288706,1,0,1,0,1,1
2,0,12,9,0.4752234507551627,0,0,1,1,1,0
0,1,10,9,-1.1168111472556572,1,0,1,1,1,1
0,1,7,5,-0.05996083915988932,1,0,0,1,1,1
0,1,3,11,-1.1123212240963287,1,1,0,0,1,1
1,0,6,22,-1.7051261945560965,1,0,1,1,1,1
0,0,1,23,0.46976694691570103,1,0,1,0,1,1
2,1,1,20,-0.17544817597795703,1,0,0,0,1,1
1,0,10,12,-0.7457238483627917,0,0,0,0,1,0
0,1,7,17,-0.34306504503245655,0,0,1,1,1,0
0,0,7,12,-1.6713755530297243,0,0,1,0,1,0
1,0,3,27,-0.15685795400808306,1,1,0,1,1,1
0,1,7,27,1.1248696012111516,1,0,1,1,0,0
0,0,4,24,-0.4998347308987946,0,0,0,0,1,0
0,1,7,8,0.8487705069343886,0,0,1,0,0,0
0,0,1,2,-1.0660396781970467,1,0,0,0,1,1
0,0,3,3,-1.080046436941773,1,0,0,0,1,1
0,1,2,7,-1.1290510380904626,1,0,0,0,0,0
0,0,6,26,-1.2564837877583486,1,0,1,1,1,1
0,1,9,30,1.1233209934548094,1,0,0,0,1,1
1,0,11,21,-0.7522681885232636,1,0,0,1,1,1
0,1,4,7,-1.0169623236638312,1,0,0,1,1,1
0,1,3,6,1.2009592480848648,1,0,0,1,1,1
0,1,5,7,-0.5628356974515637,1,0,1,0,1,1
0,1,1,5,0.061838719877542754,0,0,1,0,1,0
0,1,6,29,-0.2936308524703746,1,0,1,0,1,1
0,1,12,17,0.3756760340420877,1,1,0,1,1,1
2,1,5,3,-0.30920007675897193,1,0,1,1,0,0
1,1,12,26,-0.07333360412517341,0,0,1,1,0,0
3,0,9,17,1.669106490829387,1,0,0,0,1,1
0,1,6,19,-0.16245650016971483,0,0,1,0,1,0
0,1,9,3,0.9749144823620972,0,1,0,1,0,0
0,1,1,10,1.077139916515111,1,0,0,0,1,1
0,0,7,15,-1.2854015258840545,0,0,1,1,1,0
0,1,11,25,0.5168176000228307,0,0,0,0,1,0
1,1,5,13,1.1358103244651325,1,0,1,1,1,1
0,1,5,13,0.5208987184500601,1,0,0,0,1,1
0,1,7,21,1.365911957486954,1,0,0,1,0,0
0,1,9,1,0.963481807650844,1,0,0,1,1,1
2,1,9,29,1.040801333167737,0,0,1,1,1,0
0,0,9,26,-0.24213877846026693,0,0,1,1,1,0
0,1,9,4,0.2699688307724649,0,0,0,0,1,0
0,1,3,1,-0.9307807430222756,0,0,0,0,1,0
2,1,3,27,-1.5254773014797234,1,0,1,0,1,1
2,1,12,19,-0.6326789465966737,1,0,1,0,0,0
0,1,10,2,-0.9982023437967293,1,1,0,0,1,1
0,0,2,18,-1.4160666044930312,0,0,1,0,1,0
0,1,1,14,-0.39458829906450404,1,0,1,0,0,0
0,1,2,8,1.1814093743286218,0,0,1,0,1,0
1,1,10,14,-1.1295291317602059,1,0,0,0,1,1
4,1,10,14,1.3914622532431635,1,0,1,0,1,1
2,1,5,8,-1.3930211038326508,1,1,0,0,0,0
0,1,11,27,1.3737381429938391,1,0,1,1,1,1
2,1,7,22,0.1605546693388904,1,0,0,0,1,1
2,1,2,10,-1.4379480510009932,1,0,1,0,0,0
2,0,9,4,-1.6339595267019869,0,0,1,0,1,0
0,0,12,20,-0.9305555539749327,1,1,0,1,0,0
1,0,9,14,-0.659604627765116,1,0,0,0,0,0
0,1,9,1,1.5352333344074949,1,0,1,0,1,1
1,0,12,16,-1.0984980810363592,1,0,0,0,1,1
0,1,6,4,-1.7028535174013748,0,0,0,0,0,0
0,1,9,8,0.19459978885024914,1,0,0,0,1,1
0,1,3,13,-1.2322326595829631,0,0,1,1,1,0
0,1,2,7,-0.049518996256945,1,0,0,1,0,0
4,0,5,23,-0.41007437662792867,1,0,1,0,1,1
0,1,1,5,0.6239867998767412,1,0,0,0,0,0
4,1,6,18,1.6212139771298828,1,0,0,0,1,1
0,1,3,12,-0.8562500972455518,0,0,1,1,1,0
3,0,4,11,-1.249208449305733,0,0,0,0,1,0
2,1,7,8,-0.09046875840452431,0,0,0,1,1,0
4,0,5,1,-0.9905008783776034,0,1,0,1,1,0
2,0,4,6,0.2129856084540734,0,0,0,1,1,0
1,1,6,12,0.9169889304917478,1,0,0,0,1,1
0,1,6,5,-1.0389373102376125,0,0,1,0,0,0
0,1,10,2,0.5607052131265141,1,0,0,0,1,1
0,1,4,19,1.437345387750993,1,0,0,0,1,1
0,0,2,26,-1.0037246721269528,1,0,0,1,1,1
2,1,7,16,-0.9351494105407273,1,0,1,0,0,0
0,1,2,13,0.5081807339455116,1,0,1,1,1,1
1,1,1,16,0.09145974072033494,0,0,1,1,0,0
0,1,1,20,0.14361698853182467,1,0,0,1,0,0
0,0,2,14,1.5718040356959766,0,0,0,1,1,0
2,1,12,13,0.6144457131631681,1,0,1,0,0,0
0,1,1,23,-0.9934491226743537,1,0,1,1,1,1
0,1,5,27,0.8212316186677975,1,0,0,0,0,0
1,1,7,4,1.3960249297870182,1,0,1,1,1,1
2,1,6,11,1.0940221661720613,1,1,0,0,0,0
1,1,8,31,-0.44839808803880205,1,0,0,0,1,1
1,0,12,6,-1.610591832481562,0,0,0,1,1,0
0,1,2,22,0.4099602003883183,0,0,0,1,1,0
0,0,2,25,-0.4349040674326412,0,0,0,1,1,0
2,0,9,2,-1.5998139382310443,1,0,1,0,1,1
2,0,11,11,-0.4778666732187776,1,0,0,0,1,1
2,0,11,4,0.8743208026905982,0,0,0,0,1,0
1,1,8,8,1.3261435717262045,1,0,0,0,1,1
0,1,11,19,1.0743129278592376,1,0,0,1,1,1
0,1,8,11,1.3356326917365442,1,0,1,0,1,1
0,1,1,3,-0.48102278432845985,1,0,0,0,0,0
4,0,2,28,1.1249943212989109,1,0,1,0,1,1
0,0,6,3,0.5043074823312141,0,0,0,1,1,0
0,1,8,8,-1.692217665473027,0,0,1,0,0,0
2,1,8,7,-0.5177632435141688,1,0,1,1,0,0
0,1,2,21,1.474352609346631,1,0,0,0,1,1
2,0,7,23,-1.513337879604502,0,0,1,1,1,0
0,0,8,21,-1.5045416489706016,1,0,0,0,0,0
3,0,5,2,-0.06574300100627782,0,0,1,0,1,0
0,1,5,29,-0.11719696610068113,1,0,0,0,1,1
0,1,5,4,1.5089970781686102,1,1,0,0,1,1
0,0,12,2,-0.8373723261844555,1,0,0,1,1,1
0,1,3,14,0.49897569857951146,0,0,1,0,0,0
1,1,7,30,-1.092456085673806,0,0,0,0,0,0
0,1,7,8,0.1560266372638575,1,0,0,1,1,1
1,0,2,11,0.07742526640055111,0,0,0,0,1,0
0,0,12,23,-0.29520024690801017,1,0,1,1,1,1
0,1,3,4,-0.15490054151964103,0,0,1,1,1,0
0,0,4,16,-0.5213731971654191,1,1,0,1,1,1
0,1,5,27,1.692917634250733,1,0,0,1,1,1
0,1,8,7,0.22487905460065882,1,0,0,1,1,1
2,1,10,19,-0.7636973987876347,1,0,0,1,1,1
0,1,10,17,-0.9767435598083954,0,0,0,1,0,0
0,1,2,4,1.340230012749221,1,1,0,1,1,1
0,0,7,29,-0.390403247230809,0,0,0,1,1,0
0,1,11,21,1.086892334488498,0,1,0,1,1,0
0,0,5,24,-1.0344854959939882,0,0,0,1,1,0
1,1,9,11,-1.7159421977223186,0,0,1,0,0,0
0,1,12,9,-0.545686685384684,1,0,1,0,1,1
3,0,7,19,0.6101671212636539,0,0,1,1,1,0
0,1,5,9,1.6149190771449293,1,0,0,0,1,1
1,1,4,12,-0.04843462438281702,1,0,0,0,1,1
0,1,5,10,1.5994052840064468,1,0,0,0,1,1
0,1,3,9,0.9573462722224715,0,0,0,0,1,0
0,1,4,2,-0.6481823463945093,0,0,1,0,1,0
0,1,5,1,0.029096232393890163,1,0,0,0,1,1
1,0,1,24,-0.03692573184015545,0,0,1,0,0,0
0,1,11,5,1.722299608258654,1,0,0,0,1,1
0,1,3,25,1.2567091273131936,1,0,1,1,0,0
0,1,3,30,1.2276597402059641,0,0,0,1,1,0
0,1,6,11,0.9310268692584138,0,0,0,1,0,0
0,1,3,15,0.6287434854459991,1,0,0,0,1,1
1,1,2,24,0.8590807008558097,0,0,0,0,1,0
0,1,9,29,0.2648657005149872,1,0,0,1,0,0
